map_id,student_id,course_id
123234,100,1005
121106,100,1409
123476,142,584
124046,142,1184
128937,142,1778
125113,158,1987
126576,159,1365
133493,159,1834
134474,165,759
127885,169,1036
120852,169,1184
128277,172,1670
134132,172,1913
130178,174,1754
133643,174,1914
130219,187,513
128526,209,1830
121653,211,998
123190,211,1678
125016,226,1522
121954,229,1184
124657,239,915
126701,252,1036
124906,252,1216
120624,287,973
132395,287,1830
130386,297,808
127837,311,756
127308,313,834
123483,313,1176
129695,316,834
131576,316,1571
127504,331,1152
133510,331,1555
125002,339,876
126022,339,964
123424,341,1343
123302,341,1496
130398,347,1060
122917,348,916
122843,348,1073
125270,348,1228
129123,349,1365
122169,349,1487
132467,352,1352
125592,352,1948
133788,361,834
131251,361,1987
132285,371,858
133278,371,1034
123080,371,1778
127343,371,1948
124166,376,1598
122650,398,1253
131906,398,1553
132630,409,1482
132275,412,1598
124362,414,1184
134851,414,1787
134862,414,1834
121835,421,1913
134078,426,1482
131769,427,1057
132518,427,1571
121070,431,624
130182,436,735
124683,449,573
123386,449,759
131378,449,1164
126889,450,1670
120104,450,1974
131471,451,1333
132712,451,1757
122897,451,1908
123898,462,906
124909,462,916
123490,462,1216
124652,465,513
121847,473,559
133603,473,1073
122137,473,1984
122807,480,1004
131742,480,1365
130381,480,1754
129624,483,1228
121958,483,1908
129387,488,808
127217,516,962
130093,516,1060
127278,516,1598
131209,528,1352
134959,532,794
130764,532,1555
131334,532,1913
129862,538,1216
128602,555,911
130049,555,1984
134096,575,735
126443,575,1675
125425,576,766
124206,579,573
123388,589,906
122086,589,1184
121354,589,1678
132573,601,1184
129586,610,792
123277,610,1538
127487,622,1333
120016,622,1340
133240,622,1908
133119,622,1914
128686,629,1292
129254,629,1754
130271,641,531
129106,641,834
134771,650,712
123108,650,1787
133840,656,1409
121442,662,1435
125412,662,1571
120807,664,584
124032,664,1598
131803,664,1948
132882,671,876
121643,671,1984
131463,686,1949
133801,686,1974
130139,688,1553
129920,694,1496
126038,694,1538
132190,694,1951
123872,699,1102
126470,699,1170
130812,711,618
121449,711,881
131782,726,876
134782,731,916
129795,732,901
126820,732,1374
129916,733,766
125964,735,1343
126193,735,1374
130957,735,1524
130226,738,1913
133779,746,1057
127341,746,1571
126422,754,1057
120989,755,1202
133963,764,792
134296,764,947
130976,764,1670
121348,764,1908
130705,764,1948
123899,765,1055
130981,772,876
129075,772,881
121625,775,1176
126083,789,1778
128927,789,1974
127708,790,1487
122318,801,756
125695,801,876
131231,801,1787
126788,807,701
133426,807,998
133695,807,1164
125240,809,559
130819,809,915
133070,809,1036
127604,809,1202
129953,809,1340
127544,809,1522
127908,814,1787
122279,817,1212
120966,817,1670
131054,819,766
122987,827,1292
130311,859,1216
124684,862,1005
125869,862,1555
123572,865,1496
132431,881,1524
125237,883,712
122280,883,759
120126,883,1496
129793,883,1524
132405,883,1948
125422,885,1343
132040,892,1184
124567,892,1834
131674,897,1253
122614,898,735
125454,898,1164
131831,898,1787
123686,905,1340
120001,905,1571
121951,919,808
133108,919,973
122317,919,1292
127890,919,1914
121703,938,1034
131917,939,1538
123454,949,911
124140,949,1834
131483,949,1974
127800,952,1524
126864,957,1951
128184,962,1034
127803,966,575
126306,966,1212
127305,968,1675
121981,979,1340
123993,979,1587
127082,991,1374
134115,991,1555
123014,993,964
134324,993,1678
120924,998,735
120395,998,901
126999,998,1787
127156,1000,701
130546,1000,901
120691,1000,1409
126656,1006,1005
120432,1006,1102
131315,1006,1202
126060,1009,881
129468,1020,1176
130345,1024,513
128174,1026,1102
121821,1026,1678
128734,1046,735
123543,1046,759
127453,1056,961
127509,1057,881
133231,1073,1422
131532,1076,814
121418,1078,973
125138,1078,1055
122024,1078,1960
126953,1082,792
125181,1082,911
127804,1082,1984
121972,1097,575
134317,1097,1496
125938,1097,1757
129852,1104,1228
134619,1104,1300
133482,1121,1482
133981,1121,1830
127154,1124,1587
133010,1141,766
122966,1141,1678
132683,1143,973
123529,1143,1913
123236,1145,1253
120703,1145,1359
121464,1145,1700
120272,1145,1914
129164,1148,1101
130338,1154,973
127161,1155,1352
123625,1162,906
127009,1162,1517
130670,1163,1036
130758,1163,1678
127923,1169,766
133384,1170,1678
129328,1175,916
127930,1175,1677
126503,1179,1409
120684,1179,1678
127189,1179,1913
132728,1191,792
126687,1191,1587
120850,1195,911
120021,1203,1435
133928,1203,1913
124230,1203,1974
131058,1204,1949
134545,1205,1670
127785,1210,1292
123254,1212,1524
132866,1214,1778
128269,1214,1960
123324,1216,1409
133379,1217,814
123232,1218,701
130520,1218,1974
133555,1220,1948
131350,1220,1974
134012,1223,1340
131015,1223,1598
123241,1235,1754
134591,1240,1757
127045,1248,808
133790,1264,1102
130612,1264,1522
121965,1271,513
121652,1271,766
129025,1271,973
124698,1271,998
131063,1282,1524
122351,1282,1951
129412,1289,669
133890,1289,1949
127360,1299,1176
124852,1299,1359
126296,1300,1538
130937,1300,1913
123309,1302,1598
125554,1325,1060
131651,1329,573
130958,1329,1005
133791,1329,1073
123934,1329,1487
126105,1332,575
121342,1332,1974
131223,1336,1152
129621,1336,1374
134572,1340,766
128745,1340,1778
123738,1342,1987
125758,1344,573
124820,1344,1555
124041,1355,915
124438,1359,618
132074,1359,669
132593,1359,962
129716,1368,654
121499,1368,1060
125338,1368,1538
123688,1390,1340
125292,1390,1435
133424,1390,1948
129568,1408,915
123661,1408,1060
124541,1408,1908
131411,1409,1152
121707,1425,624
127083,1425,794
128120,1425,1675
128508,1426,794
120507,1426,1522
124246,1434,1184
123602,1435,1524
121490,1438,1176
126058,1440,766
129703,1440,814
134022,1440,876
131337,1440,1005
129541,1442,1754
123585,1445,1700
128330,1445,1834
133218,1458,1101
129783,1469,1300
125361,1472,1212
133068,1484,573
120313,1484,1184
131739,1484,1908
123866,1487,1102
123624,1487,1422
126652,1495,1102
124529,1509,973
125828,1511,1757
121194,1511,1974
133289,1515,964
129251,1515,1365
131287,1526,1333
123147,1526,1700
132277,1535,1176
121260,1535,1340
128270,1535,1908
132265,1535,1948
130420,1536,1365
134351,1536,1834
123879,1539,1487
125077,1539,1951
128485,1542,759
123090,1542,1700
126705,1548,735
124761,1548,1778
131069,1550,947
134490,1550,1212
131394,1557,1176
129827,1557,1914
126759,1582,1184
126138,1601,1365
130677,1601,1435
122935,1608,759
131940,1613,1340
123336,1613,1948
125610,1624,573
122174,1624,1787
129253,1624,1984
122241,1632,814
127919,1632,1538
121583,1637,759
134674,1637,906
125880,1637,1055
130191,1637,1216
125959,1639,1914
133064,1644,1228
129719,1644,1914
128926,1655,654
130751,1663,1538
134672,1673,1487
126108,1673,1571
128109,1673,1675
130423,1679,1598
125919,1683,1340
124242,1685,1482
131795,1691,1482
130879,1691,1524
131665,1691,1670
126990,1691,1830
126678,1692,973
121322,1692,1164
124533,1694,1057
125315,1698,584
132748,1698,962
121019,1701,961
124553,1706,584
122069,1706,701
127620,1707,624
123755,1707,1004
122459,1707,1524
123176,1719,1700
132590,1719,1757
129469,1720,513
128078,1720,1538
133889,1720,1908
129166,1729,1974
127994,1737,1598
121863,1740,766
134014,1740,1913
127119,1746,1677
124685,1746,1948
120250,1749,1553
129394,1751,1034
133793,1751,1340
124311,1751,1365
133229,1751,1987
123046,1757,1913
127024,1778,624
129401,1778,1101
130569,1780,1202
127405,1782,1778
134905,1782,1974
123359,1808,1034
125397,1816,901
123767,1816,1164
134937,1818,916
125112,1818,1216
131397,1819,1913
121075,1869,1678
121398,1869,1787
121728,1870,575
133349,1870,669
128826,1873,624
126689,1873,901
123201,1873,1184
128898,1873,1678
126155,1873,1987
134107,1876,1216
132093,1876,1409
129046,1884,911
129406,1886,1292
123051,1886,1538
120098,1908,1202
120975,1908,1435
127913,1908,1757
133133,1908,1913
122509,1912,1340
122296,1912,1908
128633,1915,654
134754,1915,901
125537,1915,1670
133074,1922,1359
130416,1926,1951
132381,1931,759
124146,1931,1034
131055,1933,1300
124545,1933,1524
123375,1935,814
123673,1947,973
128877,1947,1253
124036,1955,1253
126483,1959,1170
121992,1959,1228
123299,1966,573
133281,1969,701
134656,1969,1522
125186,1973,573
128696,1973,1496
124484,1978,624
134104,1996,1228
127790,1996,1948
125049,1998,654
121996,1998,759
129159,1998,973
133721,2000,1005
126250,2008,513
128663,2008,756
133683,2008,947
126952,2008,1678
130199,2008,1951
132376,2013,1073
133375,2013,1435
121769,2013,1670
129882,2017,947
120973,2017,1598
126610,2019,808
124573,2019,947
